SMILES,log2CL,log2CL_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
ONC(=O)CCCCCCC(=O)Nc1ccccc1,4.807354922057604,2.1407204,Vorinostat,149647-78-9,0.5,28.0,0.29,0.3,0.76,"Kelly WK, Richon VM, O'Connor O, Curley T, MacGregor-Curtelli B, Tong W, Klang M, Schwartz L, Richardson S, Rosa E, Drobnjak M, Cordon-Cordo C, Chiao JH, Rifkind R, Marks PA, Scher H (2003) Phase I clinical trial of histone deacetylase inhibitor: suberoylanilide hydroxamic acid administered intravenously.  Clin. Cancer Res.  9: 3578-3588.  Zolinza Product Label.",VDss calculated from digitized C vs t plot.,,1993,264.32,5,3,78.4,8,neutral,1.6,1.6
O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]3CCc4cc(F)ccc4O3,3.807354922057604,2.0628104,Nebivolol,118457-14-0,11.0,14.0,0.02,13.0,10.0,"Cheymol G, Poirier JM, Carrupt PA, Testa B, Weissenburger J, Levron JC, and Snoeck E (1997) Pharmacokinetics of .beta.-adrenoceptor blockers in obese and normal volunteers. Br. J. Clin. Pharmacol. 43: 563-570. ppb: The PDR states: The in vitro human plasma protein binding of nebivolol is approximately 98%, mostly to albumin, and is independent of nebivolol concentrations. Accessed January 7 2015. http://www.pdr3d.com/detail.php?c=53808#section-12",,,1987,405.44,5,3,70.9,6,cationic,3.9,3.3
O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H](CO)O,0.2630344058337938,1.9771296,Mannitol,69-65-8,0.24,1.2,,3.5,4.7,"EMA assessment report of Mannitol (EMEA/H/C/001252):
study DPM-PK-101","Data digitized from Table 3 in the report. N=18 male, 70 kg body weight assumed. 500 mg dose.

Reported data (Table 2):
AUC0-inf = 100236 ng*h/mL
CL = 5099 mL/h (1.21 mL/min/kg)
CLr = 4439 mL/h (mainly renally excreted)
t1/2 = 4.5 h
Vd = 34.3 L (0.49 L/kg)",,1946,182.17,6,6,121.4,5,neutral,-3.6,-3.6
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c3ccc(O)c(O)c3)C(=O)O,3.1210154009613658,0.045980126,"1,3-DCQA",19870-46-3,0.79,8.7,,1.5,1.37,"Wen-Zheng Ju,Yang Zhao,Fang Liu,Ting Wua,Jun Zhang,Shi-Jia Liu,Lin gZhou,Guo-Liang Dai,Ning-Ning Xiong,Zhu-Yuan Fang. Clinical tolerability and pharmacokinetics of Erigerontis hydroxybenzene injection: Results of a randomized phase I study in healthy Chinese volunteers. Phytomed. 2015, 22, 319–325","1,3-dicaffeoylquinic acid. Data digitized from plot reported. All from average males/females. 6 vials EH product tested for content via HPLC. 1.26 mg total dose, N=6, 57 kg average weight. 1 hr infusion. All AUCinf data within 10% of reported.",,1964,516.45,12,7,211.3,9,anionic,2.1,-1.6
O[C@@H]1[C@@H](C[C@](O)(C[C@H]1OC(=O)\C=C\c2ccc(O)c(O)c2)C(=O)O)OC(=O)\C=C\c3ccc(O)c(O)c3,6.244316259891207,-0.015423626,"3,5-DCQA",2450-53-5,4.82,75.81,,1.05,3.17,"Wen-Zheng Ju,Yang Zhao,Fang Liu,Ting Wua,Jun Zhang,Shi-Jia Liu,Lin gZhou,Guo-Liang Dai,Ning-Ning Xiong,Zhu-Yuan Fang. Clinical tolerability and pharmacokinetics of Erigerontis hydroxybenzene injection: Results of a randomized phase I study in healthy Chinese volunteers. Phytomed. 2015, 22, 319–325","3,5-dicaffeoylquinic acid. Data digitized from plot reported.  All from average males/females. 6 vials EH product tested for content via HPLC. 16.44 mg total dose, N=6, 57 kg average weight. 1 hr infusion. All AUCinf data within 10% of reported.",,1963,516.45,12,7,211.3,9,anionic,2.6,-1.1
O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CCC6)c45,4.459431618637297,3.2441337,Nalbuphine,20594-83-6,4.6,22.0,0.5,3.5,3.7,"Aitkenhead AR, Lin ES, and Achola KJ (1988) The pharmacokinetics of oral and intravenous nalbuphine in healthy volunteers.  Br. J. Clin. Pharmacol. 25: 264-268.   Jaillion P, Gardin ME, Lecocq B, Richard MO, Meignan S, Blondel Y, Grippat JC, Bergnieres J, and Vergnoux O (1989) Pharmacokinetics of nalbuphine in infants, young healthy volunteers, and elderly patients.  Clin. Pharmacol. Ther. 46: 226-233",,,1967,357.44,5,3,73.2,2,cationic,2.0,1.2
Oc1ccc(cc1)/C=C/C(=O)CCN(C)CCc2ccc3OCOc3c2,9.477758266443889,3.2018316,Piperphentonamine,712260-52-1,2.13,713.0,,0.05,0.1," Determination of piperphentonamine and metabolites M1 and M6 in human plasma and urine by LC/MS/MS and its application in a pharmacokinetics study in Chinese healthy volunteersFull Text By Shi, Aixin; Hu, Xin; Li, Kexin; Li, Jian; Han, Liping; Wan, Huayin; Li, Rubing 
Journal of Chromatography, B: Analytical Technologies in the Biomedical and Life Sciences (2012), 908, 87-93",Data digitized from figure 3 (plot)  N=9 (assumed from study design 27 subject for 3 doses). 0.6 mg/kg dose digitized (0.2 and 0.4 mg/kg available). 10 minutes bolus treated as infusion due to time of sampling (40 min total). 5 minutes time point not reported in plot but assumed to be 93.2 ng/mL as reported Cmax (see table).  Reported AUC0-t 767.4 ng/mL min. t1/2 reported as 5.6 minutes. Clearance reported as 1 L.kg-1.min-1 which is quite different from calculated. Error found to be quite high for all parameters.,,1991,353.41,5,1,59.0,8,cationic,3.4,2.4
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,5.832890014164741,3.19499,Naltrexone,16590-41-3,7.6,57.0,0.79,2.2,1.9,"Wall ME, Brine DR, and Perez-Reyes M (1981) Metabolism and disposition of naltrexone in man after oral and intravenous administration.  Drug Metab. Dispos.  9: 369-375.  Ludden TM, Malspeis L, Baggot JD, Sokoloski TD, Frank SG, and Reuning RH (1976) Tritiated naltrexone binding in plasma from several species and tissue distribution in mice.  J. Pharm. Sci. 65: 712-716",Calculated from C vs t data provided in the report.,,1967,341.4,5,2,70.0,2,neutral,1.3,1.0
Oc1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(CCCC[C@@]35O)c2c1,5.357552004618084,3.7731953,Butorphanol,42408-82-2,12.0,41.0,0.17,5.3,4.8,"Vachharajani NN, Shyu WC, Garnett WR, Morgenthien EA and Barbhaiya RH (1996) The absolute bioavailability and pharmacokinetics of butorphanol nasal spray in patients with hepatic impairment.  Clin. Pharmacol. Ther. 60: 283-294.   Gaver RC, Vasiljev M, Wong H, Monkovic I, Swigor JE, Van Harken DR, and Smyth RD (1980) Disposition of parenteral butorphanol in man.  Drug Metab. Dispos. 8: 230-235.",,,1973,327.46,3,2,43.7,2,cationic,3.2,2.1
Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,4.523561956057013,3.0662682,Naloxone,465-65-6,1.7,23.0,0.54,1.2,1.1,"Ngai SH, Berkowitz BA, Yang JC, Hempstead J, and Spector S (1976) Pharmacokinetics of naloxone in rats and man: basis for its potency and short duration of action.  Anesthesiology 44: 398-401.  Asali LA and Brown KF (1984) Naloxone protein binding in adult and fetal plasma. Eur. J. Clin. Pharmacol. 27: 459-463.",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1971,327.37,5,2,70.0,2,neutral,1.1,0.89
Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,0.3785116232537298,1.672036,Fluorescein,2321-07-5,0.14,1.3,0.11,1.8,1.6,"Larsen M, Loft S, Hommel E, and Lund-Andersen H (1988) Fluorescein and fluorescein glucuronide in plasma after intravenous injection of fluorescein.  Acta Opthamol. 66: 427-432.  ",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1931,332.31,5,2,76.0,0,neutral,3.9,3.9
P(=O)(OCC)(OCC)C(NC(=O)N(CCCl)N=O)C,4.20945336562895,2.918603,Fotemustin,92118-27-9,0.62,18.5,,0.55,0.38,"R.M. J. Ings, A. J. Gray, A.R. Taylor, B.H. Gordon, M. Breen, M. Hiley, R. Brownsill, N. Marchant, R. Richards, D. Wallace, T. Hughes, R. Thomas, J. Williams, C. Lucas and D.B. Campbell Disposition, Pharmacokinetics, and Metabolism of 14C-Fotemustine in Cancer Patients. Eur. J. Cancer, 1990, 26,  838-842.","N=2. Double digitization and average of PK data. Patient 1 and 2 52.4 and 73.9 kg weight, F and M, respectively. 133.9 and 176.1 mg dose, respectively. 1 hr infusion and excellent agreement with reported clearance and Vz. Patient 1 1365 mL/min calculated and 1426 mL/min reported; patient 2 787 mL/min calculated and 764 mL/min reported.",,1984,315.69,8,1,97.3,9,neutral,1.5,1.5
P(O[C@H]1[C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O)(=O)(NCCCl)NCCCl,0.6780719051126377,2.2378728,Glufosfamide,132682-98-5,0.24,1.6,0.71,2.49,2.37," Data (N=13, doses 3200-6000 mg/m2 6h i.v. infusion) reported in Table 5 in Shimizu, Toshio; Okamoto, Isamu; Tamura, Kenji; Satoh, Taroh; Miyazaki, Masaki; Akashi, Yusaku; Ozaki, Tomohiro; Fukuoka, Masahiro; Nakagawa, Kazuhiko.  Phase I clinical and pharmacokinetic study of the glucose-conjugated cytotoxic agent d-19575 (glufosfamide) in patients with solid tumors.    Cancer Chemotherapy and Pharmacology  (2010),  65(2),  243-250.  MRT calculated from CL and VDss.      fu as average of all human serum and human plasma measures reported in Table 4 in Stueben, Joerg; Port, Ruediger; Bertram, Barbara; Bollow, Ursula; Hull, William E.; Schaper, Marianne; Pohl, Joerg; Wiessler, Manfred.  Pharmacokinetics and whole-body distribution of the new chemotherapeutic agent .beta.-D-glucosylisophosporamide mustard and its effects on the incorporation of [methyl-3H]-thymidine in various tissues of the rat.    Cancer Chemotherapy and Pharmacology  (1996),  38(4),  355-365.","Data as weighted average of three doses across 13 patients (3,200/4,500/6000 mg/m2, N-3/7/3). Conversion factor used 1.73m2/70 kg. 6-hour infusion. Also reported as D 19575 ",,1990,383.16,9,6,140.5,9,neutral,-2.3,-2.3
"S(=O)(=O)(O)OC[C@@H]1[C@H]([C@@H]([C@@H](NS(=O)(=O)O)[C@H](O1)OC)O)O[C@H]1[C@H](OS(=O)(=O)O)[C@H]([C@@H]([C@H](C(=O)O)O1)O[C@@H]1[C@H](NS(=O)(=O)O)[C@H]([C@@H]([C@H](O1)COS(=O)(=O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)O)O)O)NS(=O)(=O)O)C(=O)O)OS(=O)(=O)O)O
",-3.8365012677171206,-1.3245294,Fondaparinux,104993-28-4,,0.07,0.21,,19.3,"François Donat, Jean Pierre Duret, Alix Santoni, Roger Cariou, José Necciari, Harry
Magnani and Rik de Greef. The Pharmacokinetics of Fondaparinux
Sodium in Healthy Volunteers. Clin Pharmacokinet 2002; 41 Suppl. 2: 1-9. ppb: Paolucci F , Claviés MC , Donat F , Necciari. Fondaparinux Sodium Mechanism of Action Identification of Specific Binding to Purified and Human Plasma-Derived Proteins J . Clin Pharmacokinet 2002; 41 Suppl. 2: 11-18","two sd at 4 mg averaged in elderly subjects. Fairly close values across other doses. N= 66. Only Vz reported. 7.9 and 10.8 L for the same two groups.t1/2 18.4 and 20.3 h, respectively. Ppb: 79% reported as unspecific binding in plasma. Table II in reference cited.",Almost completely excreted renally unchanged.,1986,1508.26,52,19,805.5,30,anionic,-9.0,-9.0
S(c1ccc(C(=O)CCC(=O)O)cc1)(=O)(=O)CCCOc1c(c(O)c(cc1)C(=O)C)CCC,4.124328135002202,1.0202472,L-648051,91541-18-3,,17.44,,,0.04,"Biollaz, J.; Stahl, E.; Hsieh, J. Y.; Distlerath, L.; Jaeger, A.; Leuenberger, P.; Schelling, J. L.. Tolerability and pharmacokinetics of L 648051. A leukotriene D4-receptor antagonist, in healthy volunteers. Eur. J.  Clin. Pharmacol. (1988), 33(6), 603-607.","N=3, 68.8 kg, 5 minutes infusion. Average across doses (35-72 mg total). VD refers to Vdbeta and only individual plots (difficult to digitized) were reported.",,1984,476.54,8,2,135.0,13,anionic,2.7,0.13
S1([C@@]([C@@H](N2C(=O)C[C@@H]12)C(O)=O)(Cn1ccnn1)C)(=O)=O,2.266036893995317,1.1160204,Tazobactam,89786-04-9,0.26,4.81,0.7,0.89,0.97,"Pharmacokinetics and safety of intravenous ceftolozane-tazobactam in healthy adult subjects following single and multiple ascending doses Miller, Benjamin; Hershberger, Ellie; Benziger, David; Trinh, My My; Friedland, Ian 
Antimicrobial Agents and Chemotherapy (2012), 56(6), 3086-3091. ppb. The PDR states: Both piperacillin and tazobactam are approximately 30% bound to plasma proteins.  Accessed January 15 2015. http://www.pdr3d.com/detail.php?c=137294#section-13.","BRN 4787943, Cl 298741. Average of 500 and 750 mg doses, administered alone to healthy volunteers, N=5 per dose, day 1 only. No accumulation noted at day 10.  71.4 kg average weight. MRT calculated from Cl and VDss. Renal clearance calculated as 66% across the two doses.",,1984,300.29,9,1,122.5,3,anionic,-1.7,-5.2
S1SC[C@@H]2NC([C@@H](CCCCN)NC([C@@H](NC(CNC([C@@H](NC(CNC([C@@H](NC([C@@H](CSSC[C@@H]3NC([C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC2=O)CO)=O)CCCNC(=N)N)=O)CC(C)C)=O)CCSC)=O)Cc2ccc(cc2)O)CC(O)=O)CSSC[C@@H](NC([C@@H](NC(CNC([C@@H](NC([C@@H](NC([C@@H](C1)NC([C@@H](NC(CNC(=O)[C@@H]([C@@H](C)O)NC3=O)=O)CO)=O)=O)CCCNC(=N)N)=O)CO)=O)=O)CCCCN)=O)C(=O)N)=O)N)=O)CCCCN)=O)=O)CCCCN)=O)=O)C)=O)=O,2.017921907997262,0.4391284,Ziconotide,107452-89-1,0.43,4.05,0.5,1.8,1.3,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-060_Prialt_Biopharmr.PDF. Accessed December 18 2016.,70 kg average weight assumed. Ppb reported as 50%. MRT from clearance and VDss.,,1987,2639.13,68,42,1133.8,40,cationic,-9.0,-9.0
S=C1NC=Nc2[nH]cnc12,3.906890595608519,2.8851776,"Mercaptopurine, 6-",50-44-2,1.0,15.0,0.85,1.1,1.0,"Coffey JJ, White CA, Lesk AB, Rogers WI, and Seppick AA (1972) Effect of allopurinol on the pharmacokinetics of 6-mercaptopurine (NSC 755) in cancer patients.  Cancer Res. 32: 1283-1289.  Esposito M, Rosso R, and Santi L (1974)  Plasma protein binding of antineoplastic drugs in rats and humans.    IRCS Library Compendium  2: 1180.",Purinethiol.U 4748. Pharmacokinetic parameters were calculated using the mean C vs t values from three study subjects receiving intravenous 500 mg/m2. ,,1953,152.18,4,2,53.1,0,neutral,-1.8,-2.0
[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)CC2)C)CC[C@]2([C@H]1CC[C@@H]2O)C,4.614709844115208,2.4588652,Testosterone,58-22-0,0.35,24.5,0.057,0.25,0.17,"Täuber U, Schröder K, Düsterberg B, Matthes H.  Absolute bioavailability of testosterone after oral administration of testosterone-undecanoate and testosterone. Eur J Drug Metab Pharmacokinet. 1986, 11,145-149.//ppb: Forest MG, Rivarola MA, Migeon CJ. Percentage binding of testosterone, androstenedione and dehydroisoandrosterone in human plasma. Steroids, 1968, 12, 323-343.","1.5 ug/kg, N=5 (all females). VDss calculated from the mean C vs t data provided in a plot in the paper.//for ppb: averaged the men and women; excluded the pregnant women (very different value).  Used the equilibrium dialysis data only.",,1946,288.42,2,1,37.3,0,neutral,3.3,3.3
[C@@]12([C@H]([C@H]3[C@H](C(=C)C2)[C@@H]2C(=CC(=O)CC2)CC3)CC[C@]1(C#C)O)CC,1.0,3.4327714,Etonogestrel,54048-10-1,2.87,2.0,0.02,23.6,25.0,"PP. FDA approval package. 2006-Jun-16  PDF(2755k)
Clinical Pharmacology and Biopharmaceutics Review 021529/S-000",Vdss reported with large s.d.  201 +/- 149 L. MRT from VDss and Cl. 70 kg assumed.150 ug low bolud dose,,1974,324.46,2,1,37.3,2,neutral,4.0,4.0
[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,0.070389327891398,1.6251404,Ascorbic acid,50-81-7,0.35,1.05,0.26,5.5,11.4,"Zetler, G. Seidel, G., Siegers, G-P, Iven. H. Pharmacokinetics of ascorbic acid in man. Eur. J. Clin. Pharmacol. 1976, 10, 273-282.// (L. John Hoffer, Line Robitaille, Robert Zakarian, David Melnychuk, Petr Kavan, Jason Agulnik,Victor Cohen, David Small Wilson H. Miller, Jr. High-Dose Intravenous Vitamin C Combined with Cytotoxic Chemotherapy in Patients with Advanced Cancer: A Phase I-II Clinical Trial. PLOS ONE  DOI:10.1371/journal.pone.0120228 April 7, 2015)","N=3, dosed as 500 mg of sodium ascorbate (435 mg of ascorbic acid). 79 kg average weight. Not clear whether lactone or acid was followed as the analysis was performed colorimetrically. Structure entered as lactone//Also, the work of Hoffer et al. PLoS was utilized for calculations after digitization. 0.6 g/kg over 90 minutes, N=12, 76 kg average weight. Only Cmax and C5.5 hr were reported (= Clast) and were digitized very accurately. VDss = 0.21 L/kg and clearance 1.07 mL/min/kg, MRT 3.24 hr and t1/2 2.36 hr. NEW DATA ENTERED MAY 23 2016 and  NOT AVERAGED ACROSS THE TWO REPORTS.",,1923,176.12,6,4,107.2,2,anionic,-3.0,-5.5
[C@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@]([C@H]1O)(O)C#C)CO,0.6780719051126377,2.374049,TAS-106,180300-43-0,1.1,1.6,,11.7,10.9,"A Phase I Study to Determine the Safety and Pharmacokinetics of Intravenous Administration of TAS-106 Once per Week for Three Consecutive Weeks Every 28 Days in Patients with Solid Tumors. BENJAMIN FRIDAY, YVONNE LASSERE, CHRISTINA A. MEYERS,.AKIRA MITA, JAMES L. ABBRUZZESE and MELANIE B. THOMAS. Anticancer Res. 2012, 32,1689-1695.",3'-c-Ethynylcytidine. Ecyd. Weighted average of 15 subjects. Doses of 0.33 to 2.64 mg/m2 across 15 subjects in total. Data reported corrected for weight. ,,1996,267.24,8,4,130.8,3,neutral,-3.2,-3.2
[C@]12([C@H]([C@H]3[C@@H](CO2)OC(O3)(C)C)OC(O1)(C)C)COS(=O)(=O)N,-1.888968687611256,1.1034994,Topiramate,97240-79-4,0.8,0.27,0.72,48.7,34.8,"Intravenous topiramate: Comparison of pharmacokinetics and safety with the oral formulation in healthy volunteers Anne M. Clark, Robert L. Kriel, Ilo E. Leppik,  Susan E. Marino, Usha Mishra,Richard C. Brundage, and James C. Cloyd. Epilepsia, 2013, 54, (6), 1099–1105. ppb: The PDR states: Topiramate is 15% to 41% bound to human plasma proteins over the blood concentration range of 0.5 to 250 mcg/mL. The fraction bound decreased as blood concentration increased. Median value of 28% taken. Accessed January 6 2015. http://pdr3d.com/detail.php?c=13144#section-3","Data digitized from plots reported in reference cited. N=10, 78.2 kg average weight, 100 mg dose, 15' infusion.
Reported AUC0-a (h*lg/ml) 72.6   
Reported CL (L/h) 1.33 (= 0.28 mL/min/kg)
",,1985,339.36,9,1,115.5,3,neutral,0.47,0.44
[H]N(C(C)=O)c1ccc(cc1)C1[C@H](C)CC(N([H])N=1)=O,-1.15200309344505,1.7293528,OR-1896,220246-81-1,2.38,0.45,0.4,88.0,70.0,"Puttonen, J. Eur. J. Pharm. Sci. 2007, 32, 271-277. 200 ug dose, HPLC analysis on OR-1896 after 14C OR-1896 dose. N=5, average weight 74 kg, VDss = 176 L, Cl reported as 2.0 L/h. ppb from Antila et al. Eur. J. Pharm. Sci. 2004, 23, 213-222.",A metabolite of levosimedan,,1991,245.28,5,2,70.6,2,neutral,0.71,0.71
[H]N(C(C=Cc1c2c(cc(cc2n([H])c1C(=O)O[H])[Cl])[Cl])=O)c1ccccc1,-3.4900508536956893,0.6627799,Gavestinel,153436-22-7,0.12,0.089,0.002,22.47,,"Iavarone L et al. First time in human for GV196771: interspecies scaling applied on dose selection. J Clin Pharmacol, 1999, 39, 560-566. ","Data from 100 mg iv dose, 70 Kg weight. MRT calculated from CL and VDss. GV150526. 
fu reported as fu% but unlikely to be %.  Likely to be fu.",,1993,375.21,5,3,82.2,5,anionic,4.6,1.8
[H]N(C([C@@H](Cc1ccccc1)CS(C(C)(C)C)(=O)=O)=O)[C@@H](Cc1cn([H])cn1)C(N([H])[C@@H](CC1CCCCC1)[C@H](C(C1CC1)O[H])O[H])=O,3.5360529002402097,1.7803553,Remikiren,126222-34-2,0.77,11.6,0.0558128882681065,1.1,5.2,"Kleinbloesem CH, Weber C, Fahrner E, Dellenbach M, Welker H, Schroter V, Belz GG (1993) Hemodynamics, biochemical effects, and pharmacokinetics of the renin inhibitor remikiren in healthy human subjects. Clin. Pharmacol. Ther. 53, 585-592.   fu from Lombardo et al J. Clin. Pharmacol. 2013, 53(2), 167-177 and 178-191","n=6, 40 mg dose used",,1989,630.84,10,5,161.5,17,neutral,2.0,2.0
[H]N([H])C1(CC1)C(=O)O[H],0.5849625007211562,1.8143322,1-Aminocyclopropanecarboxylic Acid,22059-21-8,0.73,1.5,,7.8,5.9,"Cherkofsky, S.C. (1995) 1-Aminocyclopropylcarboxylic acid: mouse to man interspecies pharmacokinetic comparisons and allometric relationships.  J. Pharm. Sci.  84: 1231-1235.",,,1922,101.1,3,2,63.3,3,zwitterionic,-0.66,-2.4
[H]N([H])C1C=CN(C(N=1)=O)[C@H]1[C@H]([C@@H]([C@@H](CO[H])O1)O[H])O[H],5.380937194927824,2.1883056,Cytarabine,147-94-4,0.67,41.67,0.87,0.28,0.17,"Breithaupt H et al.,  Clinical results and pharmacokinetics of high-​dose cytosine arabinoside (HD ARA-​C). Cancer, 1982, 50, 1248-1257. ppb: Van Prooijen, H. C.; Vierwinden, G.; Wessels, J.; Haanen, C. Cytosine arabinoside binding to human plasma proteins. Arch. Int. Pharmacodyn. Ther. 1977, 229, 199-205.",MK 8242. Tarabine. AC-1075. Data from 1-12 g doses with 2-3.5 hours iv infusion N=5 (see table 2 and 4) (Ara-C),,1966,243.22,8,4,128.6,6,neutral,-3.0,-3.0
[H]N([H])[C@@H]1[C@@H]([C@@H](O[C@@H]2C[C@H]3[C@H](C(=O)O[H])[C@H](C[C@@](C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@@H](C)[C@H](C)[C@@H]([C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)O[H])O[H])O[H])O[H])O[H])O[H])(O[H])O3)O[H])O[C@H](C)[C@H]1O[H])O[H],-2.5563933485243853,0.35898483,Amphotericin B,1397-89-3,0.62,0.17,0.03,61.0,40.0,"Kan, V. L.; Bennett, J. E.; Amantea, M. A.; Smolskis, M. C.; McManus, E.; Grasela, D. M.; Sherman, J. W. Comparative safety, tolerance, and pharmacokinetics of amphotericin B lipid complex and amphotericin B deoxycholate in healthy male volunteers. J. Infect. Dis. 1991, 164, 418-421.","Bellmann, R. Curr. Clin. Pharmacol., 2007, 2, 37-58. VDss 0.62 L/kg. PK parameters variability due to formulation and disease state, reported in a plethora of references, cited by the same author. Actual data data taken from Kan et al. J. Infect. Dis. 1991, 164, 418-421. N=16 healthy volunteers.",,1945,924.08,18,12,319.6,15,zwitterionic,3.1,0.41
[H]N([H])[C@H]1C[C@H](O[C@H]2C[C@@](Cc3c2c(c2C(c4c(cccc4OC)C(c2c3O[H])=O)=O)O[H])(C(CO[H])=O)O[H])O[C@@H](C)[C@H]1I,7.129283016944966,3.8959126,Iododoxorubicin,83997-75-5,53.6,140.0,,6.4,10.3,"Robert J; Armand J P; Huet S; Klink-Alakl M; Recondo G; Hurteloup P. Pharmacokinetics and metabolism of 4'-​iodo-​4'-​deoxy-​doxorubicin in humans. J. Clin. Oncol. 1992,10(7), 1183-1190.","N=16, across several dose. Average of VDss 2,171 +/- 1,551 L/m2. Clearance 340+/- 133 L/hr/m2. Conversion factor 1.73 m2/70 kg. ",,1982,653.42,11,5,185.8,10,cationic,1.9,-0.74
[H]N([H])c1c2cc(c(cc2nc(n1)N1CCN(CC1)C([C@H](C)OC)=O)OC)OC,-0.9159357352115256,1.5063536,Metazosin,95549-92-1,0.44,0.53,,13.7,,"Lapka R. et al. (1989) Interspecies pharmacokinetics scaling of metazosin, a novel alpha-adrenergic antagonist. Biopharm. Drug Disp. ,10, 581-589.","Average of 6 volunteers receiving a 10 mg dose as a 3-min infusion, plus 6 volunteers receiving a 6 mg dose in a 30-min infusion. 73 kg average weight. Data essentially identical among cohorts. Compound also referred as kenosin or VUFB15111. t 1/2 not reported but plot available.",,1984,375.42,9,1,103.0,6,neutral,1.1,0.99
[H]N([H])c1nc(C(C(N([H])[C@H]2C(N3C(=C(CN4C=CN5C4=CC=C[N-]5)CS[C@H]23)C(=O)O[H])=O)=O)=NOC)ns1,1.070389327891398,-0.028188229,Cefozopran,113359-04-9,0.24,2.1,0.74,2.0,1.7,"Shiba, K; Hori, S; Yoshida, M; Shimada, J; Saito, A; Sakai, O.  Fundamental and clinical investigation of cefozopran. Chemotherapy (Tokyo) (1993), 41(Suppl. 4), 187-194. fu from Lombardo et al J. Clin. Pharmacol. 2013, 53(2), 167-177 and 178-191","Calculated via WinNonLin from reported plasma data. Fu 0.92 from Hamada T, Ueta E, Kodama H, Osaki T. The excretion of cephem antibiotics into saliva is inversely associated with their plasma protein-binding activities. J Oral Pathol Med. 2002, 31, 109-116.",,1986,516.53,14,3,180.7,9,anionic,-1.3,-4.8
[H]N([H])c1nc(cs1)C(C(N([H])[C@@H]1C(N2C(=C(CS[C@H]12)C=C1CCN(CC(F)(F)F)C1=O)C(=O)O[H])=O)=O)=NO[H],-1.3959286763311392,0.2601533,Ro25-6833,161672-76-0,0.11,0.38,0.0429999999999999,4.8,3.8,"Weidekamm E, Schweizer J, McClelland G, Joubert P, Heizmann P (1995) Pharmacokinetics of the new cephalosporin Ro25-6833 in humans. Abstracts of the 35th Interscience Conference on Antimicrobial Agents and Chemotherapy, 122.; Richter WF, Heizmann P, Meyer J, Starke V, Lave T (1998) Animal pharmacokinetics and interspecies scaling of Ro 25-6833 and related (lactamylvinyl)cephalosporins. J. Pharm. Sci. 87, 496-500. ",500 mg infusion,,1994,546.5,12,4,178.5,9,anionic,0.36,-2.6
[H]N(c1c(C)cccn1)S(c1ccc(C#Cc2ccc(c(c2)C(=O)O[H])O[H])cc1)(=O)=O,-3.8365012677171206,0.13984382,Susalimod,149556-49-0,0.1,0.07,0.0019,23.8,16.0,"Pahlman I, Edholm M, Kankaanranta S, Odell M-L (1998) Pharmacokinetics of susalimod, a highly biliary excreted sulphasalazine analogue, in various species. Nonpredictable human clearance by allometric scaling. Pharm. Pharmacol. Commun. 4, 493-498.","100 mg dose, n=3, fu measured at 25uM ED",,1993,408.43,7,3,116.6,8,anionic,4.1,0.52
